r	Lagrange	Neville	greska	Spline	Neville-Spline
2.810000	238.320157	238.321252	-0.000998	238.215459	0.105793
2.910000	167.096792	167.096796	-0.000004	167.096789	0.000008
3.010000	115.111992	115.111517	0.000445	114.969268	0.142249
3.110000	77.481744	77.481501	0.000231	77.378709	0.102792
3.210000	50.501885	50.501983	-0.000094	50.507210	-0.005227
3.310000	31.375348	31.375519	-0.000167	31.327481	0.048038
3.410000	17.998469	17.998512	-0.000042	17.986405	0.012106
3.510000	8.797437	8.797370	0.000067	8.781405	0.015965
3.610000	2.603150	2.603090	0.000062	2.573862	0.029228
3.710000	-1.445978	-1.445974	-0.000004	-1.445228	-0.000746
3.810000	-3.980284	-3.980246	-0.000039	-3.989477	0.009230
3.910000	-5.458187	-5.458168	-0.000021	-5.465221	0.007053
4.010000	-6.211280	-6.211291	0.000012	-6.211853	0.000561
4.110000	-6.477778	-6.477798	0.000022	-6.483762	0.005964
4.210000	-6.427126	-6.427131	0.000005	-6.428266	0.001136
4.310000	-6.178272	-6.178261	-0.000012	-6.179198	0.000937
4.410000	-5.813465	-5.813455	-0.000012	-5.815404	0.001949
4.510000	-5.388703	-5.388705	0.000002	-5.388619	-0.000085
4.610000	-4.941463	-4.941471	0.000010	-4.942224	0.000752
4.710000	-4.496228	-4.496233	0.000006	-4.496713	0.000480
4.810000	-4.068347	-4.068344	-0.000005	-4.068357	0.000014
4.910000	-3.666745	-3.666739	-0.000008	-3.667070	0.000332
5.010000	-3.295911	-3.295910	-0.000002	-3.295962	0.000052
5.110000	-2.957402	-2.957407	0.000006	-2.957399	-0.000008
5.210000	-2.650946	-2.650951	0.000006	-2.650990	0.000040
5.310000	-2.375201	-2.375200	-0.000002	-2.375198	-0.000002
5.410000	-2.128220	-2.128215	-0.000007	-2.128236	0.000021
5.510000	-1.907724	-1.907721	-0.000004	-1.907739	0.000018
5.610000	-1.711290	-1.711293	0.000005	-1.711265	-0.000028
5.710000	-1.536494	-1.536500	0.000008	-1.536456	-0.000044
5.810000	-1.381035	-1.381036	0.000001	-1.381033	-0.000003
5.910000	-1.242792	-1.242786	-0.000009	-1.242780	-0.000006
6.010000	-1.119847	-1.119842	-0.000009	-1.119837	-0.000005
6.110000	-1.010467	-1.010469	0.000004	-1.010463	-0.000006
6.210000	-0.913086	-0.913094	0.000014	-0.913058	-0.000037
6.310000	-0.826302	-0.826307	0.000008	-0.826292	-0.000015
6.410000	-0.748879	-0.748871	-0.000013	-0.748880	0.000009
6.510000	-0.679727	-0.679715	-0.000022	-0.679727	0.000012
6.610000	-0.617881	-0.617880	-0.000002	-0.617881	0.000002
6.710000	-0.562470	-0.562487	0.000032	-0.562440	-0.000047
6.810000	-0.512731	-0.512748	0.000033	-0.512703	-0.000045
6.910000	-0.468017	-0.468006	-0.000021	-0.468028	0.000022
7.010000	-0.427800	-0.427763	-0.000076	-0.427834	0.000071
7.110000	-0.391619	-0.391601	-0.000039	-0.391638	0.000037
7.210000	-0.359020	-0.359063	0.000096	-0.358972	-0.000092
7.310000	-0.329533	-0.329609	0.000173	-0.329454	-0.000155
7.410000	-0.302756	-0.302754	-0.000005	-0.302758	0.000004
7.510000	-0.278443	-0.278298	-0.000354	-0.278567	0.000269
7.610000	-0.256484	-0.256335	-0.000377	-0.256605	0.000270
7.710000	-0.236709	-0.236842	0.000350	-0.236604	-0.000238
7.810000	-0.218688	-0.219147	0.001253	-0.218351	-0.000796
7.910000	-0.201850	-0.202071	0.000628	-0.201700	-0.000371
8.010000	-0.186021	-0.185231	-0.002342	-0.186516	0.001285
8.110000	-0.171848	-0.170408	-0.004463	-0.172686	0.002279
8.210000	-0.160241	-0.160477	0.000766	-0.160113	-0.000364
8.310000	-0.150688	-0.154675	0.013584	-0.148680	-0.005995
8.410000	-0.140237	-0.144546	0.015453	-0.138213	-0.006333
8.510000	-0.126026	-0.120289	-0.021710	-0.128532	0.008243
8.610000	-0.111339	-0.091182	-0.080747	-0.119543	0.028360
8.710000	-0.107807	-0.098694	-0.038775	-0.111256	0.012562
8.810000	-0.122363	-0.175577	0.241425	-0.103681	-0.071896
8.910000	-0.131250	-0.237441	0.515966	-0.096759	-0.140681
9.010000	-0.078469	-0.038634	-0.208342	-0.090400	0.051766
9.110000	0.044656	0.514124	-2.658443	-0.084519	0.598643
9.210000	0.061942	0.622106	-3.458061	-0.079049	0.701155
9.310000	-0.342017	-1.512219	7.939993	-0.073928	-1.438290
9.410000	-1.019884	-5.606024	34.541089	-0.069145	-5.536879
9.510000	-0.425540	-2.362307	16.390196	-0.064737	-2.297571
9.610000	3.590137	25.582078	-212.361540	-0.060730	25.642809
9.710000	7.768628	61.214944	-600.846368	-0.057063	61.272007
9.810000	-5.388075	-47.229328	562.802506	-0.053635	-47.175693
