#     r/au          V/au
# --------  ------------
1.0   0.377735694
1.5   0.190333563
2.0   0.102923717
2.5   0.054546281
3.0   0.027984965
3.5   0.013869115
4.0   0.006619941
4.5   0.003027120
5.0   0.001312747
5.5   0.000528252
6.0   0.000186553
6.5   0.000047167
7.0   -0.000003987
7.5   -0.000018912
8.0   -0.000020214
8.5   -0.000017232
9.0   -0.000013517
9.5   -0.000010246
10.0   -0.000007674
10.5   -0.000005744
11.0   -0.000004323
11.5   -0.000003281
12.0   -0.000002515
12.5   -0.000001948
13.0   -0.000001524
13.5   -0.000001204
14.0   -0.000000960
14.5   -0.000000772
15.0   -0.000000625
15.5   -0.000000510
16.0   -0.000000420
16.5   -0.000000347
17.0   -0.000000289
17.5   -0.000000242
18.0   -0.000000203
18.5   -0.000000172
19.0   -0.000000146
19.5   -0.000000125
20.0   -0.000000107
